No errors
No warnings
345 ms
data source=metars
4824 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KL18 050615Z AUTO 00000KT 10SM CLR 18/16 A2991 RMK AO2,KL18,2021-08-05T06:15:00Z,33.35,-117.25,18.0,16.0,0,0,,10.0,29.911417,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,215.0
KJYO 050615Z AUTO 00000KT 10SM CLR 16/14 A3013 RMK AO2,KJYO,2021-08-05T06:15:00Z,39.07,-77.57,16.0,14.0,0,0,,10.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,112.0
KJXI 050615Z AUTO 00000KT 7SM CLR 21/20 A3008 RMK AO2 T02060199,KJXI,2021-08-05T06:15:00Z,32.7,-94.95,20.6,19.9,0,0,,7.0,30.079725,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,130.0
KJQF 050615Z AUTO 00000KT 10SM OVC065 21/18 A3013 RMK AO2,KJQF,2021-08-05T06:15:00Z,35.38,-80.72,21.0,18.0,0,0,,10.0,30.129921,,,TRUE,TRUE,,,,,,,OVC,6500,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
KJHN 050615Z AUTO 17004KT 10SM SCT095 18/16 A3018 RMK AO2 T01750155,KJHN,2021-08-05T06:15:00Z,37.58,-101.73,17.5,15.5,170,4,,10.0,30.180119,,,TRUE,TRUE,,,,,,,SCT,9500,,,,,,,VFR,,,,,,,,,,,,METAR,1013.0
KJAQ 050615Z AUTO 19004KT 10SM CLR 21/05 A2997 RMK AO1 T02100054,KJAQ,2021-08-05T06:15:00Z,38.37,-120.8,21.0,5.4,190,4,,10.0,29.970472,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,518.0
KIUA 050615Z AUTO 00000KT 10SM CLR 14/14 A3014 RMK AO2 T01370136,KIUA,2021-08-05T06:15:00Z,42.92,-77.33,13.7,13.6,0,0,,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,248.0
KINF 050615Z AUTO 17005KT 7SM BKN005 BKN015 BKN024 23/23 A3002 RMK AO2,KINF,2021-08-05T06:15:00Z,28.8,-82.32,23.0,23.0,170,5,,7.0,30.02067,,,TRUE,TRUE,,,,,,,BKN,500,BKN,1500,BKN,2400,,,IFR,,,,,,,,,,,,METAR,14.0
KI43 050615Z AUTO 00000KT 1/4SM FG VV002 16/16 A3011 RMK AO2 LTG DSNT SE,KI43,2021-08-05T06:15:00Z,38.98,-82.58,16.0,16.0,0,0,,0.25,30.109253,,,TRUE,TRUE,,,,,,FG,OVX,0,,,,,,,LIFR,,,,,,,,,,,200,SPECI,221.0
KHFY 050615Z AUTO 00000KT 10SM BKN080 14/13 A3013 RMK AO2 T01420133,KHFY,2021-08-05T06:15:00Z,39.63,-86.08,14.2,13.3,0,0,,10.0,30.129921,,,TRUE,TRUE,,,,,,,BKN,8000,,,,,,,VFR,,,,,,,,,,,,SPECI,250.0
KGWW 050615Z AUTO 00000KT 10SM BKN034 OVC043 20/20 A3007 RMK AO2 T02010201,KGWW,2021-08-05T06:15:00Z,35.47,-77.97,20.1,20.1,0,0,,10.0,30.070866,,,TRUE,TRUE,,,,,,,BKN,3400,OVC,4300,,,,,VFR,,,,,,,,,,,,METAR,40.0
KGAF 050615Z AUTO 15008KT 7SM CLR 19/19 RMK AO2 LTG DSNT N AND SE,KGAF,2021-08-05T06:15:00Z,48.4,-97.37,19.0,19.0,150,8,,7.0,,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,250.0
KFRR 050615Z AUTO 00000KT 10SM CLR 15/13 A3011 RMK AO1,KFRR,2021-08-05T06:15:00Z,38.92,-78.25,15.0,13.0,0,0,,10.0,30.109253,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,213.0
KFFL 050615Z AUTO 17004KT 20/20 A3009 RMK A01,KFFL,2021-08-05T06:15:00Z,41.05,-91.97,20.0,20.0,170,4,,,30.088583,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,240.0
KFFA 050615Z AUTO 00000KT 10SM OVC014 22/22 A2999 RMK AO2 T02200219,KFFA,2021-08-05T06:15:00Z,36.02,-75.67,22.0,21.9,0,0,,10.0,29.991142,,,TRUE,TRUE,,,,,,,OVC,1400,,,,,,,MVFR,,,,,,,,,,,,METAR,2.0
KFDW 050615Z AUTO 00000KT 10SM SCT033 BKN060 18/18 A3010 RMK AO1,KFDW,2021-08-05T06:15:00Z,34.32,-81.12,18.0,18.0,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,,,SCT,3300,BKN,6000,,,,,VFR,,,,,,,,,,,,METAR,174.0
KFDK 050615Z AUTO 00000KT 10SM CLR 16/15 A3012 RMK AO2,KFDK,2021-08-05T06:15:00Z,39.42,-77.37,16.0,15.0,0,0,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,82.0
KEZS 050615Z AUTO 00000KT 10SM CLR 19/17 A3007 RMK AO2 T01930173,KEZS,2021-08-05T06:15:00Z,44.78,-88.57,19.3,17.3,0,0,,10.0,30.070866,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,247.0
KEMV 050615Z AUTO 31004KT 10SM CLR 17/17 A3009 RMK AO2 LTG DSNT E T01730165,KEMV,2021-08-05T06:15:00Z,36.68,-77.48,17.3,16.5,310,4,,10.0,30.088583,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
KDYA 050615Z AUTO 5SM HZ SCT060 A3002 RMK AO2,KDYA,2021-08-05T06:15:00Z,32.47,-87.95,,,,,,5.0,30.02067,,,TRUE,TRUE,,,,,,HZ,SCT,6000,,,,,,,MVFR,,,,,,,,,,,,SPECI,33.0
KDLL 050615Z AUTO 00000KT 7SM CLR 16/15 A3010 RMK AO2 T01600150,KDLL,2021-08-05T06:15:00Z,43.52,-89.77,16.0,15.0,0,0,,7.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,297.0
KD50 050615Z AUTO 31006KT 8SM 15/14 A2999 RMK AO2,KD50,2021-08-05T06:15:00Z,48.93,-103.3,15.0,14.0,310,6,,8.0,29.991142,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,591.0
KCWA 050615Z AUTO 00000KT 10SM CLR 16/16 A3010 RMK AO2,KCWA,2021-08-05T06:15:00Z,44.78,-89.67,16.0,16.0,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,387.0
KCPK 050615Z AUTO 35004KT 10SM BKN010 OVC014 21/19 A3003 RMK AO2 LTG DSNT E AND SE T02060194,KCPK,2021-08-05T06:15:00Z,36.67,-76.32,20.6,19.4,350,4,,10.0,30.029528,,,TRUE,TRUE,,,,,,,BKN,1000,OVC,1400,,,,,MVFR,,,,,,,,,,,,METAR,4.0
KCLK 050615Z AUTO 14003KT 10SM CLR 22/15 A3012 RMK AO2,KCLK,2021-08-05T06:15:00Z,35.53,-98.93,22.0,15.0,140,3,,10.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,489.0
KCKI 050615Z AUTO 00000KT 10SM SCT042 OVC060 21/20 A3007 RMK AO2,KCKI,2021-08-05T06:15:00Z,33.72,-79.85,21.0,20.0,0,0,,10.0,30.070866,,,TRUE,TRUE,,,,,,,SCT,4200,OVC,6000,,,,,VFR,,,,,,,,,,,,METAR,19.0
KCDH 050615Z AUTO 00000KT 4SM BR CLR 20/20 A3008 RMK AO2,KCDH,2021-08-05T06:15:00Z,33.62,-92.77,20.0,20.0,0,0,,4.0,30.079725,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,38.0
KCCA 050615Z AUTO 00000KT 5SM BR CLR 18/17 A3012 RMK AO2,KCCA,2021-08-05T06:15:00Z,35.6,-92.45,18.0,17.0,0,0,,5.0,30.121063,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,,,,,,,METAR,152.0
KBXK 050615Z AUTO 26004KT 10SM 36/12 A2976 RMK A01,KBXK,2021-08-05T06:15:00Z,33.42,-112.68,36.0,12.0,260,4,,10.0,29.760826,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,303.0
KBWW 050615Z AUTO 28006KT 10SM CLR 19/10 A3001 RMK AO2,KBWW,2021-08-05T06:15:00Z,46.17,-103.3,19.0,10.0,280,6,,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,911.0
KBRY 050615Z AUTO 00000KT 10SM CLR 17/17 A3009 RMK AO1,KBRY,2021-08-05T06:15:00Z,37.82,-85.5,17.0,17.0,0,0,,10.0,30.088583,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,192.0
KBNL 050615Z AUTO 00000KT 10SM CLR 20/19 A3008 RMK AO2,KBNL,2021-08-05T06:15:00Z,33.25,-81.38,20.0,19.0,0,0,,10.0,30.079725,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,76.0
KBKS 050615Z AUTO 11003KT 10SM CLR 25/24 A2999 RMK AO2 T02510238,KBKS,2021-08-05T06:15:00Z,27.2,-98.12,25.1,23.8,110,3,,10.0,29.991142,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,34.0
KBCB 050615Z AUTO 00000KT 10SM CLR 16/15 A3021 RMK AO2 LTG DSNT NW T01630150,KBCB,2021-08-05T06:15:00Z,37.22,-80.42,16.3,15.0,0,0,,10.0,30.209646,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,642.0
KBBP 050615Z AUTO 02003KT 10SM OVC031 21/20 A3008 RMK AO2,KBBP,2021-08-05T06:15:00Z,34.62,-79.73,21.0,20.0,20,3,,10.0,30.079725,,,TRUE,TRUE,,,,,,,OVC,3100,,,,,,,VFR,,,,,,,,,,,,METAR,44.0
KATW 050615Z AUTO 22005KT 10SM CLR 19/15 A3007 RMK AO2,KATW,2021-08-05T06:15:00Z,44.27,-88.52,19.0,15.0,220,5,,10.0,30.070866,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,266.0
KARV 050615Z AUTO 00000KT 10SM CLR 18/10 A3007 RMK AO2 T01800101,KARV,2021-08-05T06:15:00Z,45.92,-89.72,18.0,10.1,0,0,,10.0,30.070866,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,494.0
KAIO 050615Z AUTO 14007KT 8SM SCT036 BKN047 OVC080 20/19 A3002 RMK AO2,KAIO,2021-08-05T06:15:00Z,41.4,-95.03,20.0,19.0,140,7,,8.0,30.02067,,,TRUE,TRUE,,,,,,,SCT,3600,BKN,4700,OVC,8000,,,VFR,,,,,,,,,,,,SPECI,349.0
KAID 050615Z AUTO 00000KT 10SM CLR 15/12 A3014 RMK AO2 T01450118,KAID,2021-08-05T06:15:00Z,40.12,-85.62,14.5,11.8,0,0,,10.0,30.138779,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,277.0
KAFP 050615Z AUTO 00000KT 10SM BKN044 OVC050 21/18 A3010 RMK AO2 T02120183,KAFP,2021-08-05T06:15:00Z,35.02,-80.08,21.2,18.3,0,0,,10.0,30.100393,,,TRUE,TRUE,,,,,,,BKN,4400,OVC,5000,,,,,VFR,,,,,,,,,,,,METAR,91.0
K96D 050615Z AUTO 00000KT 10SM CLR 21/21 A2982 RMK AO2 LTG DSNT N,K96D,2021-08-05T06:15:00Z,48.93,-97.9,21.0,21.0,0,0,,10.0,29.819881,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,290.0
K79S 050615Z AUTO 32007KT 10SM 23/11 A3005 ,K79S,2021-08-05T06:15:00Z,47.85,-110.63,23.0,11.0,320,7,,10.0,30.050198,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,874.0
K41U 050615Z AUTO 36004KT 10SM CLR 16/09 A3024 RMK AO1 T01560088 PNO,K41U,2021-08-05T06:15:00Z,39.33,-111.6,15.6,8.8,360,4,,10.0,30.239174,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1676.0
K3U3 050615Z AUTO 00000KT 10SM 18/07 A3013 ,K3U3,2021-08-05T06:15:00Z,46.15,-112.87,18.0,7.0,0,0,,10.0,30.129921,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1534.0
K38S 050615Z AUTO 00000KT 10SM 17/10 A3015 ,K38S,2021-08-05T06:15:00Z,46.38,-112.77,17.0,10.0,0,0,,10.0,30.15059,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1430.0
K2J9 050615Z AUTO 08003KT 10SM FEW075 BKN095 OVC110 24/24 A3000 RMK AO2,K2J9,2021-08-05T06:15:00Z,30.6,-84.55,24.0,24.0,80,3,,10.0,30.0,,,TRUE,TRUE,,,,,,,FEW,7500,BKN,9500,OVC,11000,,,VFR,,,,,,,,,,,,METAR,62.0
K2C8 050615Z AUTO 20004KT 6SM BR FEW030 BKN040 OVC049 18/18 A2981 RMK AO2 LTG DSNT N AND SE,K2C8,2021-08-05T06:15:00Z,48.78,-97.63,18.0,18.0,200,4,,6.0,29.811024,,,TRUE,TRUE,,,,,,BR,FEW,3000,BKN,4000,OVC,4900,,,VFR,,,,,,,,,,,,SPECI,271.0
K20U 050615Z AUTO 22003KT 6SM HZ FEW040 SCT050 SCT070 15/09 A3002 RMK AO2,K20U,2021-08-05T06:15:00Z,46.93,-103.98,15.0,9.0,220,3,,6.0,30.02067,,,TRUE,TRUE,,,,,,HZ,FEW,4000,SCT,5000,SCT,7000,,,VFR,,,,,,,,,,,,METAR,839.0
UASS 050614Z 03006MPS 9999 SCT046CB 21/12 Q1008 R26/0///60 NOSIG RMK QFE738/0984,UASS,2021-08-05T06:14:00Z,50.35,80.23,21.0,12.0,30,12,,6.21,29.763779,,,,,,TRUE,,,,,SCT,4600,,,,,,,VFR,,,,,,,,,,,,SPECI,215.0
PABL 050614Z AUTO 13006KT 10SM FEW001 25/17 A2969 RMK AO2,PABL,2021-08-05T06:14:00Z,65.98,-161.15,25.0,17.0,130,6,,10.0,29.68996,,,TRUE,TRUE,,,,,,,FEW,100,,,,,,,VFR,,,,,,,,,,,,SPECI,7.0
KMBL 050614Z AUTO 00000KT 1 1/4SM BR FEW005 14/14 A3009 RMK AO2 VIS 1/2V5,KMBL,2021-08-05T06:14:00Z,44.27,-86.25,14.0,14.0,0,0,,1.25,30.088583,,,TRUE,TRUE,,,,,,BR,FEW,500,,,,,,,IFR,,,,,,,,,,,,SPECI,187.0
KISP 050614Z AUTO 01008KT 10SM FEW009 BKN013 OVC047 18/18 A3008 RMK AO2 T01830183,KISP,2021-08-05T06:14:00Z,40.8,-73.1,18.3,18.3,10,8,,10.0,30.079725,,,TRUE,TRUE,,,,,,,FEW,900,BKN,1300,OVC,4700,,,MVFR,,,,,,,,,,,,SPECI,25.0
